[2024-01-11 22:26:49.142] 
[2024-01-11 22:26:49.142] Hello nemo2.space tracker p gnss relay
[2024-01-11 22:26:49.145] 
[2024-01-11 22:26:49.985] 
[2024-01-11 22:26:49.985] Hello nemo2.space tracker p gnss relay
[2024-01-11 22:26:49.987] 
[2024-01-11 22:26:51.377] $PAIR001,007,1*3D
[2024-01-11 22:26:51.381] $PAIR001,007,0*3C
[2024-01-11 22:26:51.381] $PAIR001,021,0*38
[2024-01-11 22:26:51.385] $PAIR021,AG3352Q_V2.3.0.AG3352_20230213,S,N,2b31f59,2209141904,,,,,d32ef91c,2209141902,571d3e7,2209141904,,,-15.48,-15.48,-14.02,-15.48,0,1,##,0,0*34
[2024-01-11 22:26:51.639] $PAIR011,001*27
[2024-01-11 22:26:51.643] $PAIR001,752,0*3B
[2024-01-11 22:26:51.643] $PAIR010,1,-1*16
[2024-01-11 22:26:51.646] $PAIR010,2,-1*15
[2024-01-11 22:26:51.691] $GNGGA,235942.013,,,,,0,0,,,M,,M,,*5F
[2024-01-11 22:26:51.695] $GNGLL,,,,,235942.013,V,N*6D
[2024-01-11 22:26:51.698] $GNGSA,A,1,,,,,,,,,,,,,,,,1*1D
[2024-01-11 22:26:51.701] $GNGSA,A,1,,,,,,,,,,,,,,,,2*1E
[2024-01-11 22:26:51.705] $GNGSA,A,1,,,,,,,,,,,,,,,,3*1F
[2024-01-11 22:26:51.710] $GNGSA,A,1,,,,,,,,,,,,,,,,4*18
[2024-01-11 22:26:51.710] $GPGSV,1,1,00,1*64
[2024-01-11 22:26:51.714] $GLGSV,1,1,00,1*78
[2024-01-11 22:26:51.714] $GAGSV,1,1,00,7*73
[2024-01-11 22:26:51.714] $GBGSV,1,1,00,1*76
[2024-01-11 22:26:51.717] $GBGSV,1,1,00,3*74
[2024-01-11 22:26:51.717] $GNRMC,235942.013,V,,,,,,,050180,,,N,V*2C
[2024-01-11 22:26:51.724] $GNVTG,,T,,M,,N,,K,N*32
[2024-01-11 22:26:52.664] $GNGGA,235943.012,,,,,0,0,,,M,,M,,*5F
[2024-01-11 22:26:52.667] $GNGLL,,,,,235943.012,V,N*6D
[2024-01-11 22:26:52.673] $GNGSA,A,1,,,,,,,,,,,,,,,,1*1D
[2024-01-11 22:26:52.673] $GNGSA,A,1,,,,,,,,,,,,,,,,2*1E
[2024-01-11 22:26:52.677] $GNGSA,A,1,,,,,,,,,,,,,,,,3*1F
[2024-01-11 22:26:52.681] $GNGSA,A,1,,,,,,,,,,,,,,,,4*18
[2024-01-11 22:26:52.681] $GPGSV,1,1,00,1*64
[2024-01-11 22:26:52.684] $GLGSV,1,1,00,1*78
[2024-01-11 22:26:52.684] $GAGSV,1,1,00,7*73
[2024-01-11 22:26:52.688] $GBGSV,1,1,00,1*76
[2024-01-11 22:26:52.688] $GBGSV,1,1,00,3*74
[2024-01-11 22:26:52.691] $GNRMC,235943.012,V,,,,,,,050180,,,N,V*2C
[2024-01-11 22:26:52.695] $GNVTG,,T,,M,,N,,K,N*32
[2024-01-11 22:26:53.663] $GNGGA,235944.012,,,,,0,0,,,M,,M,,*58
[2024-01-11 22:26:53.666] $GNGLL,,,,,235944.012,V,N*6A
[2024-01-11 22:26:53.670] $GNGSA,A,1,,,,,,,,,,,,,,,,1*1D
[2024-01-11 22:26:53.674] $GNGSA,A,1,,,,,,,,,,,,,,,,2*1E
[2024-01-11 22:26:53.678] $GNGSA,A,1,,,,,,,,,,,,,,,,3*1F
[2024-01-11 22:26:53.678] $GNGSA,A,1,,,,,,,,,,,,,,,,4*18
[2024-01-11 22:26:53.681] $GPGSV,1,1,00,1*64
[2024-01-11 22:26:53.684] $GLGSV,1,1,00,1*78
[2024-01-11 22:26:53.684] $GAGSV,1,1,00,7*73
[2024-01-11 22:26:53.688] $GBGSV,1,1,00,1*76
[2024-01-11 22:26:53.688] $GBGSV,1,1,00,3*74
[2024-01-11 22:26:53.693] $GNRMC,235944.012,V,,,,,,,050180,,,N,V*2B
[2024-01-11 22:26:53.696] $GNVTG,,T,,M,,N,,K,N*32
[2024-01-11 22:26:54.663] $GNGGA,235945.012,,,,,0,0,,,M,,M,,*59
[2024-01-11 22:26:54.667] $GNGLL,,,,,235945.012,V,N*6B
